x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
1535.0,1023.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1353.0,1225.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1353.0,1220.0,,,,,,,,,,,,,,,,,,,,,,,,
1353.0,1221.0,1565.0,1026.0,,,,,,,,,,,,,,,,,,,,,,
1353.0,1220.0,1413.0,880.0,,,,,,,,,,,,,,,,,,,,,,
1567.0,1024.0,1414.0,880.0,,,,,,,,,,,,,,,,,,,,,,
1355.0,1217.0,1569.0,1023.0,1374.0,868.0,,,,,,,,,,,,,,,,,,,,
1354.0,1216.0,1570.0,1024.0,,,,,,,,,,,,,,,,,,,,,,
1353.0,1215.0,1571.0,1022.0,1408.0,879.0,1494.0,721.0,,,,,,,,,,,,,,,,,,
1353.0,1216.0,1575.0,1021.0,1408.0,879.0,,,,,,,,,,,,,,,,,,,,
1355.0,1214.0,1193.0,1140.0,1407.0,877.0,1496.0,717.0,,,,,,,,,,,,,,,,,,
1355.0,1213.0,1193.0,1140.0,1576.0,1019.0,1406.0,877.0,1373.0,875.0,1495.0,716.0,,,,,,,,,,,,,,
1355.0,1211.0,1577.0,1018.0,1404.0,876.0,1372.0,876.0,1495.0,715.0,,,,,,,,,,,,,,,,
1354.0,1211.0,938.0,1142.0,1195.0,1141.0,1578.0,1018.0,1372.0,878.0,1402.0,875.0,1583.0,811.0,1495.0,713.0,,,,,,,,,,
1354.0,1210.0,940.0,1142.0,1580.0,1017.0,1816.0,986.0,1373.0,879.0,1400.0,874.0,1584.0,811.0,1494.0,712.0,,,,,,,,,,
